Movie,Director,Distribution,Star,Rating,Budget,BoxOffice,RunningTime,Genre,Year,Month,Tomatometer
ConnieandCarla,MichaelLembeck,UniversalPictures,NiaVardalos,PG13,53.974,15.1,97,Comedy,2004,April,0.43
KillBill:Volume2,QuentinTarantino,MiramaxFilms,UmaThurman,R,59.971,202.8,136,Action,2004,April,0.84
ThePunisher,JonathanHensleigh,Lionsgate,ThomasJane,R,65.968,72.9,123,Action,2004,April,0.29
13Goingon30,GaryWinick,ColumbiaPictures,JenniferGarner,PG13,73.964,128.6,97,Romance,2004,April,0.64
ManonFire,TonyScott,20thCenturyFox,DenzelWashington,R,139.933,173.7,146,Crime,2004,April,0.39
BobbyJones:StrokeofGenius,RowdyHerrington,FilmFoundryReleasing,JimCaviezel,PG,39.981,3.6,123,Biography,2004,April,0.26
Envy,BarryLevinson,DreamWorksPictures,BenStiller,PG13,79.961,19.4,99,Comedy,2004,April,0.08
Godsend,NickHamm,Lionsgate,GregKinnear,PG13,49.976,40.1,102,Horror,2004,April,0.04
LawsofAttraction,PeterHowitt,NewLineCinema,PierceBrosnan,PG13,63.969,40,90,Romance,2004,April,0.17
MeanGirls,MarkWaters,ParamountPictures,LindsayLohan,PG13,33.984,171.9,97,Comedy,2004,April,0.83
VanHelsing,StephenSommers,UniversalPictures,HughJackman,PG13,319.308,399.5,131,Fantasy,2004,May,0.23
NewYorkMinute,DennieGordon,WarnerBros.Pictures,MaryKateOlsen,PG,59.87,31.1,91,Comedy,2004,May,0.11
Troy,WolfgangPetersen,WarnerBros.Pictures,BradPitt,R,369.2,661.8,162,Epic,2004,May,0.54
Shrek2,AndrewAdamsonKellyAsburyConradVernon,DreamWorksPictures,MikeMyers,PG,299.351,1223.7,92,Animated,2004,May,0.88
TheDayAfterTomorrow,RolandEmmerich,20thCenturyFox,DennisQuaid,PG13,249.459,724.2,124,SciFi,2004,May,0.44
RaisingHelen,GarryMarshall,BuenaVistaPictures,KateHudson,PG13,99.784,66.1,119,Comedy,2004,May,0.24
SoulPlane,JessyTerrero,MGMDistribution,TomArnold,R,31.931,19.7,86,Comedy,2004,May,0.18
HarryPotterandthePrisonerofAzkaban,AlfonsoCuaron,WarnerBros.Pictures,DanielRadcliffe,PG,259.029,1058.3,142,Fantasy,2004,June,0.91
TheChroniclesofRiddick,DavidTwohy,UniversalPictures,VinDiesel,PG13,239.104,153.8,119,SciFi,2004,June,0.29
Garfield:TheMovie,PeterHewitt,20thCenturyFox,BillMurray,PG,99.627,266.7,80,Family,2004,June,0.15
NapoleonDynamite,JaredHess,FoxSearchlightPictures,JonHeder,PG,0.797,61.2,95,Comedy,2004,June,0.71
TheStepfordWives,FrankOz,ParamountPictures,NicoleKidman,PG13,179.328,135.5,93,Horror,2004,June,0.26
AroundtheWorldin80Days,FrankCoraci,BuenaVistaPictures,JackieChan,PG,219.179,99.6,120,Action,2004,June,0.31
DodgeBall:ATrueUnderdogStory,RawsonMarshallThurber,20thCenturyFox,VinceVaughn,PG13,39.851,222.8,92,Sports,2004,June,0.7
TheTerminal,StevenSpielberg,DreamWorksPictures,TomHanks,PG13,119.552,291.4,128,Comedy,2004,June,0.61
WhiteChicks,KeenanIvoryWayans,SonyPicturesReleasing,MarlonWayans,PG13,73.724,150.2,109,Comedy,2004,June,0.15
Fahrenheit911,MichaelMoore,Lionsgate,MichaelMoore,R,11.955,295.4,122,Documentary,2004,June,0.83
TheNotebook,NickCassavetes,NewLineCinema,RyanGosling,PG13,57.783,153.6,124,Romance,2004,June,0.52
SpiderMan2,SamRaimi,ColumbiaPictures,TobeyMaguire,PG13,398.507,1041.2,127,Superhero,2004,June,0.93
BeforeSunset,RichardLinklater,WarnerBros.Pictures,EthanHawke,R,5.234,20.7,80,Romance,2004,July,0.95
KingArthur,AntoineFuqua,BuenaVistaPictures,CliveOwen,PG13,232.637,263.1,126,Adventure,2004,July,0.31
Anchorman:TheLegendofRonBurgundy,AdamMcKay,DreamWorksPictures,WillFerrell,PG13,50.405,117.1,94,Comedy,2004,July,0.66
Sleepover,JoeNussbaum,MetroGoldwynMayer,AlexaVega,PG,19.386,13.1,89,Comedy,2004,July,0.15
HouseofFlyingDaggers,ZhangYimou,SonyPicturesClassics,AndyLau,PG13,23.264,120.1,119,Romance,2004,July,0.88
IRobot,AlexProyas,20thCenturyFox,WillSmith,PG13,232.637,448.7,115,SciFi,2004,July,0.57
ACinderellaStory,MarkRosman,WarnerBros.Pictures,HilaryDuff,PG,36.834,90.6,95,Romance,2004,July,0.11
Catwoman,Pitof,WarnerBros.Pictures,HalleBerry,PG13,193.864,106.1,104,Superhero,2004,July,0.09
TheBourneSupremacy,PaulGreengrass,UniversalPictures,MattDamon,PG13,145.398,372.9,108,Spy,2004,July,0.81
AHomeattheEndoftheWorld,MichaelMayer,WarnerBros.Pictures,ColinFarrell,R,12.601,2,96,Drama,2004,July,0.5
GardenState,ZachBraff,FoxSearchlightPictures,ZachBraff,R,4.847,46.3,102,Romance,2004,July,0.86
Thunderbirds,JonathanFrakes,UniversalPictures,BradyCorbet,PG,110.503,36.6,95,SciFi,2004,July,0.19
Harold&KumarGotoWhiteCastle,DannyLeiner,NewLineCinema,JohnCho,R,17.448,30.9,88,Comedy,2004,July,0.74
TheManchurianCandidate,JonathanDemme,ParamountPictures,DenzelWashington,R,155.091,124.2,130,Thriller,2004,July,0.8
TheVillage,M.NightShyamalan,BuenaVistaPictures,JoaquinPhoenix,PG13,116.319,331.8,108,Horror,2004,July,0.43
Collateral,MichaelMann,DreamWorksPictures,TomCruise,R,126.322,282.2,120,Crime,2004,August,0.86
LittleBlackBook,NickHurran,ColumbiaPictures,BrittanyMurphy,PG13,68.02,28.5,111,Comedy,2004,August,0.21
OpenWater,ChrisKentis,Lionsgate,BlanchardRyan,R,0.233,70.9,79,Horror,2004,August,0.72
ThePrincessDiaries2:RoyalEngagement,GarryMarshall,BuenaVistaPictures,AnneHathaway,G,77.737,174.5,113,Romance,2004,August,0.25
Alienvs.Predator,PaulW.S.Anderson,20thCenturyFox,SanaaLathan,PG13,116.605,223.5,101,SciFi,2004,August,0.2
Exorcist:TheBeginning,RennyHarlin,WarnerBros.Pictures,StellanSkarsgard,R,97.171,101.1,114,Horror,2004,August,0.11
WithoutaPaddle,StevenBrill,ParamountPictures,SethGreen,PG13,36.925,90.7,99,Comedy,2004,August,0.14
Anacondas:TheHuntfortheBloodOrchid,DwightH.Little,ScreenGems,JohnnyMessner,PG13,48.586,92,97,Adventure,2004,August,0.25
LayerCake,MatthewVaughn,SonyPicturesReleasing,DanielCraig,R,12.632,15.4,105,Crime,2004,August,0.8
SuspectZero,E.EliasMerhige,ParamountPictures,AaronEckhart,R,52.472,14.8,99,Thriller,2004,August,0.18
VanityFair,MiraNair,FocusFeatures,ReeseWitherspoon,PG13,44.841,25.3,141,Drama,2004,September,0.51
TheCookout,LanceRivera,Lionsgate,JaRule,PG13,31.194,15.6,97,Comedy,2004,September,0.05
Paparazzi,PaulAbascal,20thCenturyFox,ColeHauser,PG13,38.992,20.8,84,Action,2004,September,0.17
WickerPark,PaulMcGuigan,MetroGoldwynMayer,JoshHartnett,PG13,58.488,28.1,114,Romance,2004,September,0.26
Cellular,DavidR.Ellis,NewLineCinema,KimBasinger,PG13,48.74,73.3,94,Action,2004,September,0.55
ResidentEvil:Apocalypse,AlexanderWitt,ScreenGems,MillaJovovich,R,87.732,168.1,94,Action,2004,September,0.2
Mr.3000,CharlesStoneIII,BuenaVistaPictures,BernieMac,PG13,58.488,28.4,104,Sports,2004,September,0.54
SkyCaptainandtheWorldofTomorrow,KerryConran,ParamountPictures,GwynethPaltrow,PG,136.472,75.4,106,SciFi,2004,September,0.71
Wimbledon,RichardLoncraine,UniversalPictures,KirstenDunst,PG13,60.438,53.9,98,Romance,2004,September,0.61
FirstDaughter,ForestWhitaker,20thCenturyFox,KatieHolmes,PG,58.488,13.5,106,Romance,2004,September,0.08
TheForgotten,JosephRuben,ColumbiaPictures,JulianneMoore,PG13,81.883,152.8,91,SciFi,2004,September,0.31
TheLastShot,JeffNathanson,BuenaVistaPictures,MatthewBroderick,R,15.597,0.6,93,Comedy,2004,September,0.62
IHeartHuckabees,DavidO.Russell,FoxSearchlightPictures,DustinHoffman,R,38.763,26,106,Comedy,2004,October,0.63
Ladder49,JayRussell,BuenaVistaPictures,JoaquinPhoenix,PG13,116.29,132.2,114,Drama,2004,October,0.41
SharkTale,VickyJensonBiboBergeronRobLetterman,DreamWorksPictures,WillSmith,PG,145.362,474.6,90,Animated,2004,October,0.35
BrideandPrejudice,GurinderChadha,MiramaxFilms,AishwaryaRai,PG13,13.567,31.9,111,Romance,2004,October,0.64
Taxi,TimStory,20thCenturyFox,QueenLatifah,PG13,48.454,89,97,Action,2004,October,0.1
FridayNightLights,PeterBerg,UniversalPictures,BillyBobThornton,PG13,58.145,80.1,118,Sports,2004,October,0.81
RaiseYourVoice,SeanMcNamara,NewLineCinema,HilaryDuff,PG,29.072,19.2,103,Musical,2004,October,0.15
ShallWeDance?,PeterChelsom,MiramaxFilms,RichardGere,PG13,96.908,219.8,106,Musical,2004,October,0.46
TeamAmerica:WorldPolice,TreyParker,ParamountPictures,TreyParkerMattStone,R,62.021,65.9,98,Action,2004,October,0.77
TheGrudge,TakashiShimizu,ColumbiaPictures,SarahMichelleGellar,PG13,19.382,241.9,92,Horror,2004,October,0.39
Sideways,AlexanderPayne,FoxSearchlightPictures,PaulGiamatti,R,31.011,141.7,127,Comedy,2004,October,0.96
SurvivingChristmas,MikeMitchell,DreamWorksPictures,BenAffleck,PG13,87.217,19.5,91,Romance,2004,October,0.07
Saw,JamesWan,Lionsgate,CaryElwes,R,2.326,134.2,103,Horror,2004,October,0.49
Ray,TaylorHackford,UniversalPictures,JamieFoxx,PG13,77.526,161.1,152,Biography,2004,October,0.8
Alfie,CharlesShyer,ParamountPictures,JudeLaw,R,116.231,45.5,105,Romance,2004,November,0.48
TheIncredibles,BradBird,BuenaVistaPictures,CraigT.Nelson,PG,178.222,817.5,115,Animated,2004,November,0.97
